Season,Plot,Seed_species,Seed_removal_percent
Dry,C,Spp_1,92
Dry,C,Spp_1,93
Dry,C,Spp_1,83
Dry,C,Spp_1,93
Dry,C,Spp_1,80
Dry,C,Spp_1,89
Dry,C,Spp_1,85
Dry,C,Spp_1,76
Dry,C,Spp_1,82
Dry,C,Spp_2,86
Dry,C,Spp_2,82
Dry,C,Spp_2,84
Dry,C,Spp_2,88
Dry,C,Spp_2,78
Dry,C,Spp_2,99
Dry,C,Spp_2,75
Dry,C,Spp_2,96
Dry,C,Spp_2,89
Dry,C,Spp_2,90
Dry,C,Spp_3,91
Dry,C,Spp_3,91
Dry,C,Spp_3,98
Dry,C,Spp_3,78
Dry,C,Spp_3,95
Dry,C,Spp_3,87
Dry,C,Spp_3,81
Dry,C,Spp_3,76
Dry,C,Spp_3,88
Dry,C,Spp_3,90
Dry,C,Spp_4,77
Dry,C,Spp_4,82
Dry,C,Spp_4,82
Dry,C,Spp_4,78
Dry,C,Spp_4,98
Dry,C,Spp_4,93
Dry,C,Spp_4,76
Dry,C,Spp_4,92
Dry,C,Spp_4,94
Dry,C,Spp_4,81
Dry,D,Spp_1,53
Dry,D,Spp_1,78
Dry,D,Spp_1,75
Dry,D,Spp_1,56
Dry,D,Spp_1,53
Dry,D,Spp_1,82
Dry,D,Spp_1,85
Dry,D,Spp_1,92
Dry,D,Spp_1,52
Dry,D,Spp_1,83
Dry,D,Spp_2,55
Dry,D,Spp_2,50
Dry,D,Spp_2,96
Dry,D,Spp_2,82
Dry,D,Spp_2,63
Dry,D,Spp_2,77
Dry,D,Spp_2,95
Dry,D,Spp_2,58
Dry,D,Spp_2,89
Dry,D,Spp_2,71
Dry,D,Spp_3,82
Dry,D,Spp_3,50
Dry,D,Spp_3,95
Dry,D,Spp_3,94
Dry,D,Spp_3,74
Dry,D,Spp_3,72
Dry,D,Spp_3,86
Dry,D,Spp_3,94
Dry,D,Spp_3,57
Dry,D,Spp_3,76
Dry,D,Spp_4,68
Dry,D,Spp_4,86
Dry,D,Spp_4,100
Dry,D,Spp_4,98
Dry,D,Spp_4,62
Dry,D,Spp_4,93
Dry,D,Spp_4,65
Dry,D,Spp_4,73
Dry,D,Spp_4,95
Dry,D,Spp_4,78
Wet,A,Spp_1,42
Wet,A,Spp_1,48
Wet,A,Spp_1,32
Wet,A,Spp_1,48
Wet,A,Spp_1,55
Wet,A,Spp_1,48
Wet,A,Spp_1,45
Wet,A,Spp_1,51
Wet,A,Spp_1,31
Wet,A,Spp_1,43
Wet,A,Spp_2,30
Wet,A,Spp_2,55
Wet,A,Spp_2,39
Wet,A,Spp_2,35
Wet,A,Spp_2,45
Wet,A,Spp_2,43
Wet,A,Spp_2,42
Wet,A,Spp_2,44
Wet,A,Spp_2,58
Wet,A,Spp_2,49
Wet,A,Spp_3,17
Wet,A,Spp_3,2
Wet,A,Spp_3,1
Wet,A,Spp_3,6
Wet,A,Spp_3,7
Wet,A,Spp_3,19
Wet,A,Spp_3,0
Wet,A,Spp_3,14
Wet,A,Spp_3,12
Wet,A,Spp_3,14
Wet,A,Spp_4,1
Wet,A,Spp_4,18
Wet,A,Spp_4,12
Wet,A,Spp_4,8
Wet,A,Spp_4,0
Wet,A,Spp_4,12
Wet,A,Spp_4,17
Wet,A,Spp_4,8
Wet,A,Spp_4,2
Wet,A,Spp_4,1
Wet,B,Spp_1,2
Wet,B,Spp_1,0
Wet,B,Spp_1,9
Wet,B,Spp_1,20
Wet,B,Spp_1,2
Wet,B,Spp_1,2
Wet,B,Spp_1,18
Wet,B,Spp_1,5
Wet,B,Spp_1,18
Wet,B,Spp_1,18
Wet,B,Spp_2,11
Wet,B,Spp_2,16
Wet,B,Spp_2,10
Wet,B,Spp_2,4
Wet,B,Spp_2,13
Wet,B,Spp_2,20
Wet,B,Spp_2,3
Wet,B,Spp_2,10
Wet,B,Spp_2,3
Wet,B,Spp_2,0
Wet,B,Spp_3,1
Wet,B,Spp_3,2
Wet,B,Spp_3,11
Wet,B,Spp_3,7
Wet,B,Spp_3,9
Wet,B,Spp_3,19
Wet,B,Spp_3,19
Wet,B,Spp_3,7
Wet,B,Spp_3,12
Wet,B,Spp_3,8
Wet,B,Spp_4,20
Wet,B,Spp_4,24
Wet,B,Spp_4,26
Wet,B,Spp_4,40
Wet,B,Spp_4,26
Wet,B,Spp_4,40
Wet,B,Spp_4,27
Wet,B,Spp_4,34
Wet,B,Spp_4,23
Wet,B,Spp_4,21
Wet,C,Spp_1,44
Wet,C,Spp_1,60
Wet,C,Spp_1,47
Wet,C,Spp_1,54
Wet,C,Spp_1,40
Wet,C,Spp_1,55
Wet,C,Spp_1,50
Wet,C,Spp_1,57
Wet,C,Spp_1,47
Wet,C,Spp_1,50
Wet,C,Spp_2,48
Wet,C,Spp_2,48
Wet,C,Spp_2,56
Wet,C,Spp_2,55
Wet,C,Spp_2,59
Wet,C,Spp_2,49
Wet,C,Spp_2,53
Wet,C,Spp_2,42
Wet,C,Spp_2,47
Wet,C,Spp_2,56
Wet,C,Spp_3,43
Wet,C,Spp_3,47
Wet,C,Spp_3,43
Wet,C,Spp_3,51
Wet,C,Spp_3,40
Wet,C,Spp_3,51
Wet,C,Spp_3,57
Wet,C,Spp_3,43
Wet,C,Spp_3,57
Wet,C,Spp_3,47
Wet,C,Spp_4,41
Wet,C,Spp_4,49
Wet,C,Spp_4,50
Wet,C,Spp_4,69
Wet,C,Spp_4,57
Wet,C,Spp_4,49
Wet,C,Spp_4,49
Wet,C,Spp_4,43
Wet,C,Spp_4,58
Wet,C,Spp_4,47
Wet,D,Spp_1,83
Wet,D,Spp_1,97
Wet,D,Spp_1,91
Wet,D,Spp_1,91
Wet,D,Spp_1,91
Wet,D,Spp_1,77
Wet,D,Spp_1,77
Wet,D,Spp_1,90
Wet,D,Spp_1,93
Wet,D,Spp_1,92
Wet,D,Spp_2,83
Wet,D,Spp_2,97
Wet,D,Spp_2,70
Wet,D,Spp_2,91
Wet,D,Spp_2,80
Wet,D,Spp_2,77
Wet,D,Spp_2,77
Wet,D,Spp_2,90
Wet,D,Spp_2,92
Wet,D,Spp_2,100
Wet,D,Spp_3,72
Wet,D,Spp_3,71
Wet,D,Spp_3,75
Wet,D,Spp_3,77
Wet,D,Spp_3,63
Wet,D,Spp_3,77
Wet,D,Spp_3,75
Wet,D,Spp_3,62
Wet,D,Spp_3,75
Wet,D,Spp_3,77
Wet,D,Spp_4,77
Wet,D,Spp_4,74
Wet,D,Spp_4,65
Wet,D,Spp_4,66
Wet,D,Spp_4,63
Wet,D,Spp_4,77
Wet,D,Spp_4,79
Wet,D,Spp_4,60
Wet,D,Spp_4,67
Wet,D,Spp_4,61
